Time|Exchange|Symbol|Bid_Price|Bid_Size|Offer_Price|Offer_Size|Quote_Condition|Sequence_Number|National_BBO_Ind|FINRA_BBO_Indicator|FINRA_ADF_MPID_Indicator|Quote_Cancel_Correction|Source_Of_Quote|Retail_Interest_Indicator|Short_Sale_Restriction_Indicator|LULD_BBO_Indicator|SIP_Generated_Message_Identifier|National_BBO_LULD_Indicator|Participant_Timestamp|FINRA_ADF_Timestamp|FINRA_ADF_Market_Participant_Quote_Indicator|Security_Status_Indicator
070025795121619|T|ZTAX|20.26|1|40.27|1|R|304099|U| |||C||||||070025794771855||| 
070025795126527|T|ZTAX|20.26|1|40.1|1|R|304100|U| |||C||||||070025794778357||| 
070026325215325|P|ZTAX|0|0|0|0|R|304115|A| |||C||||||070026325182777||| 
070030794866697|K|ZTAX|0|0|0|0|R|304252|U| |||C||||||070030794634000||| 
070030795929435|T|ZTAX|18.44|1|40.1|1|R|304253|G| |||C||||||070030795578248||| 
070030795939289|T|ZTAX|18.53|1|40.1|1|R|304254|G| |||C||||||070030795587754||| 
070030796896526|T|ZTAX|16.79|1|40.1|1|R|304255|G| |||C||||||070030796547543||| 
070030796906630|T|ZTAX|16.87|1|40.1|1|R|304256|G| |||C||||||070030796554107||| 
070030797648277|T|ZTAX|22.15|3|40.1|1|R|304257|G| |||C||||||070030797296805||| 
075554583722605|T|ZTAX|22.15|3|40.28|1|R|405112|G| |||C||||||075554583369524||| 
075554585191059|T|ZTAX|22.15|3|40.28|2|R|405125|G| |||C||||||075554584843976||| 
090640875131479|P|ZTAX|0|0|25.56|1|R|627032|U| |||C||||||090640875103988||| 
090640875752839|P|ZTAX|21.75|1|25.56|1|R|627033|A| |||C||||||090640875729506||| 
090640875858153|T|ZTAX|22.15|3|40.28|1|R|627034|A| |||C||||||090640875506506||| 
090640875873120|T|ZTAX|22.15|3|32.71|1|R|627035|A| |||C||||||090640875520061||| 
090640875873120|T|ZTAX|22.15|3|27.86|1|R|627036|A| |||C||||||090640875523318||| 
090640876213906|T|ZTAX|22.15|3|27.74|1|R|627037|A| |||C||||||090640875862910||| 
090646746590018|P|ZTAX|24.68|1|25.56|1|R|627321|G| |||C||||||090646746560965||| 
090646747321768|T|ZTAX|22.46|1|27.74|1|R|627322|A| |||C||||||090646746968432||| 
090646747492159|T|ZTAX|22.57|1|27.74|1|R|627323|A| |||C||||||090646747140298||| 
091350062478916|T|ZTAX|22.15|3|27.74|1|R|651932|A| |||C||||||091350062130202||| 
091350062649100|T|ZTAX|22.15|3|27.86|1|R|651945|A| |||C||||||091350062298083||| 
091350082741974|T|ZTAX|22.15|3|32.71|1|R|651992|A| |||C||||||091350082391110||| 
091734445362198|T|ZTAX|22.15|3|32.71|2|R|665366|A| |||C||||||091734445008221||| 
091958446093409|T|ZTAX|23.93|1|32.71|2|R|676124|A| |||C||||||091958445740009||| 
091958446093409|T|ZTAX|23.93|1|26.33|1|R|676125|A| |||C||||||091958445740884||| 
092000463603594|T|ZTAX|23.93|1|32.71|2|R|676762|A| |||C||||||092000463252620||| 
092000463628615|T|ZTAX|22.15|3|32.71|2|R|676763|A| |||C||||||092000463278020||| 
092805907818805|T|ZTAX|22.15|3|32.71|3|R|713496|A| |||C||||||092805907466894||| 
092830061370870|T|ZTAX|23.07|1|32.71|3|R|716370|A| |||C||||||092830061018376||| 
092830061380909|T|ZTAX|23.07|1|27.23|1|R|716371|A| |||C||||||092830061033047||| 
092830065204867|T|ZTAX|23.69|1|27.23|1|R|716374|A| |||C||||||092830064856814||| 
092830065220015|T|ZTAX|23.69|1|26.59|1|R|716375|A| |||C||||||092830064868350||| 
092830635890720|J|ZTAX|23.07|1|0|0|R|716660|A| |||C||||||092830635658000||| 
092830635895751|J|ZTAX|23.07|1|27.23|1|R|716661|A| |||C||||||092830635669000||| 
092831581660525|Z|ZTAX|23.07|1|0|0|R|716937|A| |||C||||||092831581424000||| 
092831581665556|J|ZTAX|23.07|2|27.23|1|R|716938|A| |||C||||||092831581435000||| 
092831581665556|Z|ZTAX|23.07|1|27.23|1|R|716939|A| |||C||||||092831581440000||| 
092831581670463|Y|ZTAX|23.07|1|0|0|R|716940|A| |||C||||||092831581438000||| 
092831581675493|J|ZTAX|23.07|2|27.23|2|R|716941|A| |||C||||||092831581447000||| 
092831581680711|Y|ZTAX|23.07|1|27.23|1|R|716942|A| |||C||||||092831581453000||| 
092831581680711|K|ZTAX|23.07|1|0|0|R|716943|A| |||C||||||092831581451000||| 
092831581695499|K|ZTAX|23.07|1|27.23|1|R|716944|A| |||C||||||092831581465000||| 
