Time|Exchange|Symbol|Bid_Price|Bid_Size|Offer_Price|Offer_Size|Quote_Condition|Sequence_Number|National_BBO_Ind|FINRA_BBO_Indicator|FINRA_ADF_MPID_Indicator|Quote_Cancel_Correction|Source_Of_Quote|Retail_Interest_Indicator|Short_Sale_Restriction_Indicator|LULD_BBO_Indicator|SIP_Generated_Message_Identifier|National_BBO_LULD_Indicator|Participant_Timestamp|FINRA_ADF_Timestamp|FINRA_ADF_Market_Participant_Quote_Indicator|Security_Status_Indicator
122420612568977|U|YHGJ|.7824|1|.81|3|R|63109119|0||||N||0|||A|122420612395743||| 
122955309977771|U|YHGJ|.7824|1|.81|2|R|64243213|3||||N||0|||A|122955309803292||| 
124500055974214|K|YHGJ|.7824|1|.8301|1|R|67094213|0||||N||0|||A|124500055790000||| 
125056678486922|U|YHGJ|.7824|1|.81|2|R|68310680|0||||N||0|||A|125056678313047||| 
130107259009845|N|YHGJ|.626|2|1.01|2|R|70354829|0||||N||0|||A|130107258673369||| 
130711826093405|N|YHGJ|.626|2|1.01|2|R|71523196|0||||N||0|||A|130711825756587||| 
131010730137739|P|YHGJ|.7824|5|.846|6|R|71998871|0||||N||0|||A|131010729798162||| 
131246087831597|K|YHGJ|.7824|1|.8301|1|R|72404296|0||||N||0|||A|131246087647000||| 
131325748860414|U|YHGJ|.7824|1|.81|1|R|72514402|3||||N||0|||A|131325748686375||| 
131325748983503|U|YHGJ|.7824|1|.81|1|R|72514406|0||||N||0|||A|131325748813227||| 
132823709074821|U|YHGJ|.7824|1|.81|1|R|74904666|0||||N||0|||A|132823708901477||| 
142022892594103|Q|YHGJ|.763|1|.813|1|R|82340320|0||||N||0|||A|142022892580930||| 
143918729225365|U|YHGJ|.7824|1|.81|1|R|84621909|0||||N||0|||A|143918729051797||| 
145734626226473|U|YHGJ|.7824|1|.81|1|R|86744794|0||||N||0|||A|145734626053952||| 
151713757967571|U|YHGJ|.7824|1|.81|1|R|91667538|0||||N||0|||A|151713757794050||| 
153405715064687|H|YHGJ|.7824|2|.8495|1|R|94331872|0||||N||0|||A|153405714807207||| 
153552194253964|U|YHGJ|.7824|1|.81|1|R|94656567|0||||N||0|||A|153552194080931||| 
